run_id,seed,network_type,network_kwargs,n_nodes,a0,ratio,beta_I,b,g_I,I0,X0_frac,init_method,strategy_choice_func,tau,policy,seeded_nodes,steps_run,converged,X_final,I_final,high_adoption,t_half,t_high,clusters_n_final,cluster_max_final,cluster_mean_final,X0,I0_grid,beta_I_grid,low_adoption
0,123,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.0,random,logit,0.2,none,0,1,True,0.0,0.0,0,,,0,0,0.0,0.0,0.0,2.0,1
1,124,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.0,random,logit,0.2,none,0,1,True,0.0,0.0,0,,,0,0,0.0,0.0,0.0,2.0,1
2,125,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.0,random,logit,0.2,none,0,1,True,0.0,0.0,0,,,0,0,0.0,0.0,0.0,2.0,1
3,126,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.0,random,logit,0.2,none,0,1,True,0.0,0.0,0,,,0,0,0.0,0.0,0.0,2.0,1
4,127,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.0,random,logit,0.2,none,0,1,True,0.0,0.0,0,,,0,0,0.0,0.0,0.0,2.0,1
5,128,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.0,random,logit,0.2,none,0,1,True,0.0,0.0,0,,,0,0,0.0,0.0,0.0,2.0,1
6,129,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.0,random,logit,0.2,none,0,1,True,0.0,0.0,0,,,0,0,0.0,0.0,0.0,2.0,1
7,130,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.0,random,logit,0.2,none,0,1,True,0.0,0.0,0,,,0,0,0.0,0.0,0.0,2.0,1
8,131,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.0,random,logit,0.2,none,0,1,True,0.0,0.0,0,,,0,0,0.0,0.0,0.0,2.0,1
9,132,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.0,random,logit,0.2,none,0,1,True,0.0,0.0,0,,,0,0,0.0,0.0,0.0,2.0,1
10,133,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.0,random,logit,0.2,none,0,1,True,0.0,0.0,0,,,0,0,0.0,0.0,0.0,2.0,1
11,134,erdos_renyi,"{""p"": 0.05}",300,2.2,2.2,2.0,1.0,0.08,0.0,0.0,random,logit,0.2,none,0,1,True,0.0,0.0,0,,,0,0,0.0,0.0,0.0,2.0,1
12,135,erdos_renyi,"{""p"": 0.05}",300,2.1500000000000004,2.2,2.0,1.0,0.08,0.025,0.0,random,logit,0.2,none,0,1,True,0.0,0.023,0,,,0,0,0.0,0.0,0.025,2.0,1
13,136,erdos_renyi,"{""p"": 0.05}",300,2.1500000000000004,2.2,2.0,1.0,0.08,0.025,0.0,random,logit,0.2,none,0,1,True,0.0,0.023,0,,,0,0,0.0,0.0,0.025,2.0,1
14,137,erdos_renyi,"{""p"": 0.05}",300,2.1500000000000004,2.2,2.0,1.0,0.08,0.025,0.0,random,logit,0.2,none,0,1,True,0.0,0.023,0,,,0,0,0.0,0.0,0.025,2.0,1
15,138,erdos_renyi,"{""p"": 0.05}",300,2.1500000000000004,2.2,2.0,1.0,0.08,0.025,0.0,random,logit,0.2,none,0,1,True,0.0,0.023,0,,,0,0,0.0,0.0,0.025,2.0,1
16,139,erdos_renyi,"{""p"": 0.05}",300,2.1500000000000004,2.2,2.0,1.0,0.08,0.025,0.0,random,logit,0.2,none,0,1,True,0.0,0.023,0,,,0,0,0.0,0.0,0.025,2.0,1
17,140,erdos_renyi,"{""p"": 0.05}",300,2.1500000000000004,2.2,2.0,1.0,0.08,0.025,0.0,random,logit,0.2,none,0,1,True,0.0,0.023,0,,,0,0,0.0,0.0,0.025,2.0,1
18,141,erdos_renyi,"{""p"": 0.05}",300,2.1500000000000004,2.2,2.0,1.0,0.08,0.025,0.0,random,logit,0.2,none,0,1,True,0.0,0.023,0,,,0,0,0.0,0.0,0.025,2.0,1
19,142,erdos_renyi,"{""p"": 0.05}",300,2.1500000000000004,2.2,2.0,1.0,0.08,0.025,0.0,random,logit,0.2,none,0,1,True,0.0,0.023,0,,,0,0,0.0,0.0,0.025,2.0,1
20,143,erdos_renyi,"{""p"": 0.05}",300,2.1500000000000004,2.2,2.0,1.0,0.08,0.025,0.0,random,logit,0.2,none,0,1,True,0.0,0.023,0,,,0,0,0.0,0.0,0.025,2.0,1
21,144,erdos_renyi,"{""p"": 0.05}",300,2.1500000000000004,2.2,2.0,1.0,0.08,0.025,0.0,random,logit,0.2,none,0,1,True,0.0,0.023,0,,,0,0,0.0,0.0,0.025,2.0,1
22,145,erdos_renyi,"{""p"": 0.05}",300,2.1500000000000004,2.2,2.0,1.0,0.08,0.025,0.0,random,logit,0.2,none,0,1,True,0.0,0.023,0,,,0,0,0.0,0.0,0.025,2.0,1
23,146,erdos_renyi,"{""p"": 0.05}",300,2.1500000000000004,2.2,2.0,1.0,0.08,0.025,0.0,random,logit,0.2,none,0,1,True,0.0,0.023,0,,,0,0,0.0,0.0,0.025,2.0,1
24,147,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
25,148,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
26,149,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
27,150,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
28,151,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
29,152,erdos_renyi,"{""p"": 0.05}",300,2.1,2.2,2.0,1.0,0.08,0.05,0.0,random,logit,0.2,none,0,1,True,0.0,0.046,0,,,0,0,0.0,0.0,0.05,2.0,1
