run_id,seed,network_type,network_kwargs,n_nodes,a0,ratio,beta_I,b,g_I,I0,X0_frac,init_method,strategy_choice_func,tau,policy,seeded_nodes,steps_run,converged,X_final,I_final,high_adoption,t_half,t_high,clusters_n_final,cluster_max_final,cluster_mean_final,beta_I_grid
0,321,erdos_renyi,"{""p"": 0.05}",300,1.388,1.4,0.4,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.4
1,322,erdos_renyi,"{""p"": 0.05}",300,1.388,1.4,0.4,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.4
2,323,erdos_renyi,"{""p"": 0.05}",300,1.388,1.4,0.4,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.4
3,324,erdos_renyi,"{""p"": 0.05}",300,1.388,1.4,0.4,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.4
4,325,erdos_renyi,"{""p"": 0.05}",300,1.388,1.4,0.4,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.4
5,326,erdos_renyi,"{""p"": 0.05}",300,1.388,1.4,0.4,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.4
6,327,erdos_renyi,"{""p"": 0.05}",300,1.388,1.4,0.4,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.4
7,328,erdos_renyi,"{""p"": 0.05}",300,1.388,1.4,0.4,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.4
8,329,erdos_renyi,"{""p"": 0.05}",300,1.388,1.4,0.4,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.4
9,330,erdos_renyi,"{""p"": 0.05}",300,1.388,1.4,0.4,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.4
10,331,erdos_renyi,"{""p"": 0.05}",300,1.382,1.4,0.6,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.6
11,332,erdos_renyi,"{""p"": 0.05}",300,1.382,1.4,0.6,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.6
12,333,erdos_renyi,"{""p"": 0.05}",300,1.382,1.4,0.6,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.6
13,334,erdos_renyi,"{""p"": 0.05}",300,1.382,1.4,0.6,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.6
14,335,erdos_renyi,"{""p"": 0.05}",300,1.382,1.4,0.6,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.6
15,336,erdos_renyi,"{""p"": 0.05}",300,1.382,1.4,0.6,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.6
16,337,erdos_renyi,"{""p"": 0.05}",300,1.382,1.4,0.6,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.6
17,338,erdos_renyi,"{""p"": 0.05}",300,1.382,1.4,0.6,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.6
18,339,erdos_renyi,"{""p"": 0.05}",300,1.382,1.4,0.6,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.6
19,340,erdos_renyi,"{""p"": 0.05}",300,1.382,1.4,0.6,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.6
20,341,erdos_renyi,"{""p"": 0.05}",300,1.376,1.4,0.8,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.8
21,342,erdos_renyi,"{""p"": 0.05}",300,1.376,1.4,0.8,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.8
22,343,erdos_renyi,"{""p"": 0.05}",300,1.376,1.4,0.8,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.8
23,344,erdos_renyi,"{""p"": 0.05}",300,1.376,1.4,0.8,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.8
24,345,erdos_renyi,"{""p"": 0.05}",300,1.376,1.4,0.8,1.0,0.08,0.03,0.08,random,imitate,1.0,none,24,1,True,0.0,0.0276,0,,,0,0,0.0,0.8
