run_id,seed,network_type,network_kwargs,n_nodes,a0,ratio,beta_I,b,g_I,I0,X0_frac,init_method,strategy_choice_func,tau,policy,seeded_nodes,steps_run,converged,X_final,I_final,high_adoption,t_half,t_high,clusters_n_final,cluster_max_final,cluster_mean_final,scenario_id,baseline_cell_id,network_label,scenario_beta_I,scenario_X0,scenario_I0
0,555,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,15,True,1.0,0.6853489307943915,1,3.0,5.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
1,556,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,10,True,1.0,0.5785631384027846,1,1.0,4.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
2,557,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,34,True,1.0,0.7430286025116885,1,17.0,23.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
3,558,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,6,True,1.0,0.49232713534184075,1,0.0,2.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
4,559,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,6,True,1.0,0.441574222188955,1,2.0,3.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
5,560,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,9,True,1.0,0.5558199293041826,1,1.0,4.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
6,561,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,7,True,1.0,0.5000355340700434,1,1.0,3.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
7,562,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,8,True,1.0,0.5545864128209037,1,1.0,2.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
8,563,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,10,True,1.0,0.5862033886420804,1,2.0,4.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
9,564,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,3,True,1.0,0.3872672664359861,1,0.0,1.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
10,565,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,10,True,1.0,0.618985420925857,1,1.0,2.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
11,566,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,8,True,1.0,0.5845934766493965,1,0.0,1.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
12,567,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,7,True,1.0,0.5158512156698928,1,1.0,2.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
13,568,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,3,True,1.0,0.36777982006920407,1,1.0,1.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
14,569,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,8,True,1.0,0.5533529527483793,1,1.0,3.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
15,570,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,7,True,1.0,0.4911384357031241,1,1.0,4.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
16,571,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,12,True,1.0,0.5809393712048699,1,3.0,6.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
17,572,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,24,True,1.0,0.7048014163527098,1,10.0,14.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
18,573,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,3,True,1.0,0.37832321107266426,1,0.0,1.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
19,574,grid,{},300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,87,6,True,1.0,0.48480332979642904,1,1.0,2.0,1,289,289.0,0,26,grid,1.5,0.3,0.2499999999999999
20,575,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,90,13,True,1.0,0.45655287654686527,1,8.0,10.0,1,300,300.0,0,26,small_world,1.5,0.3,0.2499999999999999
21,576,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,1.6250000000000002,2.0,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,90,8,True,1.0,0.5001661760639904,1,2.0,4.0,1,300,300.0,0,26,small_world,1.5,0.3,0.2499999999999999
