scenario_id,network_label,n,p_high,t_high_mean,X_mean,X_std,cluster_max_mean
0,barabasi_albert,20,0.15,1.0,0.1745,0.3604988016136978,52.35
0,erdos_renyi,20,0.1,4.0,0.10433333333333335,0.3069203756010089,31.3
0,grid,20,1.0,4.35,1.0,0.0,289.0
0,small_world,20,1.0,5.75,1.0,0.0,300.0
1,barabasi_albert,20,0.3,0.3333333333333333,0.3195,0.458835641813962,95.85
1,erdos_renyi,20,0.5,3.4,0.5398333333333334,0.47563865959667745,161.95
1,grid,20,1.0,0.95,1.0,0.0,289.0
1,small_world,20,1.0,2.65,1.0,0.0,300.0
2,barabasi_albert,20,0.15,2.6666666666666665,0.152,0.3655379757233254,45.6
2,erdos_renyi,20,0.05,5.0,0.057499999999999996,0.22303823132274642,17.25
2,grid,20,1.0,2.9,1.0,0.0,289.0
2,small_world,20,1.0,5.75,1.0,0.0,300.0
3,barabasi_albert,20,0.05,0.0,0.06316666666666666,0.22256998373729264,18.95
3,erdos_renyi,20,0.1,4.5,0.12316666666666667,0.30296483303921523,36.95
3,grid,20,1.0,2.25,1.0,0.0,289.0
3,small_world,20,1.0,4.85,1.0,0.0,300.0
4,barabasi_albert,20,0.25,1.4,0.25,0.4442616583193192,75.0
4,erdos_renyi,20,0.0,,0.023833333333333335,0.04467262332630356,7.15
4,grid,20,1.0,2.45,1.0,0.0,289.0
4,small_world,20,0.95,5.105263157894737,0.95,0.22360679774997894,285.0
