run_id,seed,network_type,network_kwargs,n_nodes,a0,ratio,beta_I,b,g_I,I0,X0_frac,init_method,strategy_choice_func,tau,policy,seeded_nodes,steps_run,converged,X_final,I_final,high_adoption,t_half,t_high,clusters_n_final,cluster_max_final,cluster_mean_final,network_label,scenario
0,999,grid,{},300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,14,1,True,0.0,0.0184,0,,,0,0,0.0,grid,low_seed
1,1000,grid,{},300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,14,10,True,1.0,0.47239060948978373,1,2.0,3.0,1,289,289.0,grid,low_seed
2,1001,grid,{},300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,14,1,True,0.0,0.0184,0,,,0,0,0.0,grid,low_seed
3,1002,grid,{},300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,14,1,True,0.0,0.0184,0,,,0,0,0.0,grid,low_seed
4,1003,grid,{},300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,14,1,True,0.0,0.0184,0,,,0,0,0.0,grid,low_seed
5,1004,grid,{},300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,14,1,True,0.0,0.0184,0,,,0,0,0.0,grid,low_seed
6,1005,grid,{},300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,14,1,True,0.0,0.0184,0,,,0,0,0.0,grid,low_seed
7,1006,grid,{},300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,14,1,True,0.0,0.0184,0,,,0,0,0.0,grid,low_seed
8,1007,grid,{},300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,14,1,True,0.0,0.0184,0,,,0,0,0.0,grid,low_seed
9,1008,grid,{},300,2.16,2.2,2.0,1.0,0.08,0.02,0.05,random,logit,0.2,none,14,1,True,0.0,0.0184,0,,,0,0,0.0,grid,low_seed
