run_id,seed,network_type,network_kwargs,n_nodes,a0,ratio,beta_I,b,g_I,I0,X0_frac,init_method,strategy_choice_func,tau,policy,seeded_nodes,steps_run,converged,X_final,I_final,high_adoption,t_half,t_high,clusters_n_final,cluster_max_final,cluster_mean_final,policy_label,policy_type,policy_cost,scenario_id,baseline_cell_id,network_label,scenario_beta_I,scenario_X0,scenario_I0,policy_metric,policy_fraction,policy_start,policy_duration,policy_lock,policy_delta_a0,policy_boost
0,777,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,1.4250000000000003,1.8,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,90,9,True,1.0,0.46381167942216966,1,4.0,6.0,1,300,300.0,baseline,baseline,0.0,0,26,small_world,1.5,0.3,0.2499999999999999,,,,,,,
1,778,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,1.4250000000000003,1.8,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,90,14,True,1.0,0.45161682182782764,1,9.0,11.0,1,300,300.0,baseline,baseline,0.0,0,26,small_world,1.5,0.3,0.2499999999999999,,,,,,,
2,779,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,1.4250000000000003,1.8,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,90,5,True,1.0,0.40485814510933327,1,2.0,3.0,1,300,300.0,baseline,baseline,0.0,0,26,small_world,1.5,0.3,0.2499999999999999,,,,,,,
3,780,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,1.4250000000000003,1.8,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,90,49,True,0.14333333333333334,0.14429532193232794,0,,,1,43,43.0,baseline,baseline,0.0,0,26,small_world,1.5,0.3,0.2499999999999999,,,,,,,
4,781,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,1.4250000000000003,1.8,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,90,10,True,1.0,0.4938393328622593,1,4.0,6.0,1,300,300.0,baseline,baseline,0.0,0,26,small_world,1.5,0.3,0.2499999999999999,,,,,,,
5,782,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,1.4250000000000003,1.8,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,90,15,True,1.0,0.48562845491412654,1,8.0,11.0,1,300,300.0,baseline,baseline,0.0,0,26,small_world,1.5,0.3,0.2499999999999999,,,,,,,
6,783,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,1.4250000000000003,1.8,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,90,8,True,1.0,0.4719137326427231,1,3.0,5.0,1,300,300.0,baseline,baseline,0.0,0,26,small_world,1.5,0.3,0.2499999999999999,,,,,,,
7,784,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,1.4250000000000003,1.8,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,90,9,True,1.0,0.44968113365091694,1,5.0,6.0,1,300,300.0,baseline,baseline,0.0,0,26,small_world,1.5,0.3,0.2499999999999999,,,,,,,
8,785,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,1.4250000000000003,1.8,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,90,8,True,1.0,0.45670912704343786,1,3.0,5.0,1,300,300.0,baseline,baseline,0.0,0,26,small_world,1.5,0.3,0.2499999999999999,,,,,,,
9,786,small_world,"{""k"": 6, ""rewiring_p"": 0.05}",300,1.4250000000000003,1.8,1.5,1.0,0.08,0.2499999999999999,0.3,random,imitate,1.0,none,90,7,True,1.0,0.4485798782888618,1,3.0,4.0,1,300,300.0,baseline,baseline,0.0,0,26,small_world,1.5,0.3,0.2499999999999999,,,,,,,
